Cümle,Tür,,Cümle ,Tür
"Dostluk, insanlığın en önemli değerlerinden biridir. ",Öznel,,Son peygamber Hz. Muhammed dir. ,Nesnel
"Şairin, sesini daha geniş kitlelere duyurabilmesi için dergilerde daha sık görülmesi şart. ",Öznel,,Perde camlardan gelen güneşi kısıtlamak için takılır. ,Nesnel
"En iyi tatil, haziran ayında yapılan tatildir. ",Öznel,,Covid 19 bulaşıcı bir hastalık türüdür. ,Nesnel
"İyi bir romancı, şiir yazamaz. ",Öznel,,Bir elimizde 5 parmak vrdır.,Nesnel
"Yeşilliklerin içinde bir dere kenarı, insana huzur verir. ",Öznel,,Atatürk 1881 yılında doğmuştur ,Nesnel
Balık tutmak zaman kaybından başka bir şey değil. ,Öznel,,Araba 4 tekerlekten olusmuştur ,Nesnel
Kendisine yapılan iyiliği herkes takdir eder. ,Öznel,,Hukuk bölümünü okumak istiyorsan eşit ağırlık okuman gerekicektir. ,Nesnel
Bu kitap herkesin ilgisini çekecek. ,Öznel,,Alfabemizin ilk harfi a dır. ,Nesnel
Sözüne güvenilen iyi bir insandır. ,Öznel,,Basketbol bir spor türü olarak bilinir. ,Nesnel
Yaptığın resmi çok beğendim. ,Öznel,,Bitmiş cümlenin sonuna nokta konur ,Nesnel
Gürültülü ortamları hiç sevmem. ,Öznel,,0 bir rakam değildir. ,Nesnel
Gece dışarı çıkıp eğlenmek gibisi yok. ,Öznel,,Müslümanlar Allah a iman ederler ,Nesnel
Sahil kenarında içilen bir fincan kahvenin verdiği huzuru başka hiçbir yerde bulamazsın. ,Öznel,,Klima hava üfleyen bir icattır. ,Nesnel
Güneşli havayı bulutlu havaya tercih ederim. ,Öznel,,Kapının kolu kırık. ,Nesnel
Yüzme sporlar arasında en güzelidir. ,Öznel,,Koşarken yere düşünce bağırdı! ,Nesnel
Yüzme kadar bütün kasları çalıştıran başka bir spor yoktur. ,Öznel,,Öğretmen beni ve Ayşe yi çağırdı . ,Nesnel
Dünya'nın en güzel bahçesi burası. ,Öznel,,Mor bir renktir. ,Nesnel
Takım elbise erkeklere yakışıyor. ,Öznel,,Kışlar yazlardan daha soğuk geçen bir mevsimdir. ,Nesnel
Mutlu olmak başarılı olmayı gerektirir. ,Öznel,,Su ićmek hayatsal önem taşır. ,Nesnel
En başarılı sanatçı Barış Manço'dur ,Öznel,,Nefes almaz isek vücudumu çalışmaz ,Nesnel
Şehrin en güzel pastaları bu pastanede yapılıyor. ,Öznel,,Bu kumaş hint kumaşıdır. ,Nesnel
Bu parfümün kokusu muazzam. ,Öznel,,Bulutlar gökyüzündedir. ,Nesnel
Pizzayı en iyi İtalyanlar yapmıyormuş demek ki. ,Öznel,,Sevinmek soyut bir kavramdır. ,Nesnel
Semaverde demlenen çayın kokusu bile farklıdır. ,Öznel,,Bir opti cevap doğrulayamaz ,Nesnel
Burada ciğer yiyen başka yerde yemez. ,Öznel,,Uçaklar havaalanına iniş yaparlar. ,Nesnel
Dünyanın en güzel yemeklerini benim annem yapar. ,Öznel,,⭒Hint filmleri en çok kanal 7 de yayınlanır. ,Nesnel
Siyah rengi asil bir renktir ,Öznel,,3 idiots bir tür hint filmidir ,Nesnel
Kahvaltı en önemli öğündür. ,Öznel,,Zürafalar uzun boylu hayvanlardır. ,Nesnel
Matematik dersi en eğlenceli derstir. ,Öznel,,Dünyanın en hızlı hayvanı çitadır ,Nesnel
Bu otel geçen sene gittiğimiz otelden daha güzel. ,Öznel,,Telefonu Grahambell icat etmiştir. ,Nesnel
Bu şarkıyı çok beğendim. ,Öznel,,Telefonu şarj etmek için şarj aleti kullanılır⭒ ,Nesnel
Evin kapıları çok eskimiş. ,Öznel,,Atatürk 19 Mayısta Samsuna çıkmıştır. ,Nesnel
Yemeğin içinde kıymayı sevmem. ,Öznel,,Gemiyi süren kişiye kaptan adı verilir. ,Nesnel
Çok sevimsiz bir çocuk. ,Öznel,,Ben sözel timde yer alıyorum ,Nesnel
Karnıyarık en sevdiğim yemektir. ,Öznel,,Dünya nın dörtte üçü suyla kaplıdır. ,Nesnel
Bakması en kolay olan balık japon balığıdır. ,Öznel,,İstanbul ve Ankara Türkiye’nin gelişmiş şehirleri arasında yer alır ,Nesnel
Geometri dersi çok sıkıcı. ,Öznel,,"Dünya Savaşı yaşanırken  ülkemizde yağ, şeker ve  ekmek karneyle veriliyordu. ",Nesnel
Dünyanın en güzel şeyi kahve ve çikolatadır ,Öznel,,Ülkemizin en büyük akvaryumu Ankara’da yer alır. ,Nesnel
Bu partide giyilebilecek bir elbise değil. ,Öznel,,Çalıkuşu adlı roman Reşat Nuri Güntekin’e ait bir romandır. ,Nesnel
Bu ayakkabılar çok rahat. ,Öznel,,Kayseri İç Anadolu Bölgesi’nde yer alan bir ildir. ,Nesnel
Ürgüp yöresinin yemekleri çok lezzetli. ,Öznel,,"Opera; bale, resim, müzik gibi farklı  sanatların  bir arada yer aldığı bir sanattır. ",Nesnel
Kot pantolon kumaş pantolondan daha rahat ,Öznel,,Yaşar Kemal romanlarında Çukurova insanını  ve buranın sorunlarını ele alır. ,Nesnel
En güzel müzik türü rapdir. ,Öznel,,Marmara Bölgesi Türkiyenin en gelişmiş bölgesidir. ,Nesnel
Monster en kaliteli bilgisayar firmasıdır ,Öznel,,Karadeniz Bölgesi’nde Samsun’dan sonra ikinci büyük şehir Trabzon’dur. ,Nesnel
Türkiyenin en büyük kulubü bence Beşiktaştır ,Öznel,,Mustafa Kemal Atatürk Türkiye Cumhuriyeti’nin ilk cumhurbaşkanıdır. ,Nesnel
Mersin ili çok küçüktür ,Öznel,,Bir hafta 7 gündür. ,Nesnel
Bilgisayarın çok güzel ,Öznel,," Neil Armstrong, Ay’a ayak basan ilk insandır. ",Nesnel
Araban çok çirkin ,Öznel,,Atatürk 10 Kasım 1938 tarihinde öldü. ,Nesnel
Audi markası bence kötü duruyor ,Öznel,,Türkiye’nin başkenti Ankara’dır. ,Nesnel
En iyi telefon markası appledır ,Öznel,,Soru cümlesi sonuna soru işareti konmalıdır. ,Nesnel
En sevdiğim çiçek papatyadır ,Öznel,,1 ve kendisinden başka sayıya bölünmeyen sayılar asal sayıdır. ,Nesnel
Sokak köpekleri tehlikesizdir. ,Öznel,,Güneş Dünya’dan daha büyüktür. ,Nesnel
Koltuk hiç rahat değil. ,Öznel,,Ay Dünya’nın uydusudur. ,Nesnel
Bu kış ayının en güzel zamanıdır. ,Öznel,, Çift sayılar ikiye tam bölünür. ,Nesnel
Çikolatalı dondurma dünyanın en lezzetli tatlısıdır. ,Öznel,,En küçük asal sayı ikidir. ,Nesnel
Sabah erken kalkmak benim için en zor iştir. ,Öznel,,Türkiye’nin başkenti ANKARA’ dır. ,Nesnel
Müzik dinlemek ruhun gıdasıdır. ,Öznel,,Öykünün kahramanı küçük bir kız çocuğudur. ,Nesnel
Kediler en tatlı evcil hayvanlardır. ,Öznel,,Konserde dört müzisyen sahne aldı. ,Nesnel
Yağmur sesi huzur verici bir melodidir. ,Öznel,,İki gün önce köyüme gittim ,Nesnel
En sevdiğim renk mavidir çünkü suyu anımsatır. ,Öznel,,Bu binanın yüksekliği yirmi metredir. ,Nesnel
Kitap okumak en iyi kaçış yollarından biridir. ,Öznel,,ilk cumhurbaşkanı Mustafa Kemal Atatürk'tür ,Nesnel
Baharın gelişiyle her şey canlanır ve güzelleşir. ,Öznel,,istiklal marşının yazarı Mehmet Akif Ersoy'dur ,Nesnel
Sinema izlemek tiyatrodan daha eğlencelidir. ,Öznel,,Akdeniz'de maki bitki örtüsü vardır ,Nesnel
Felsefe en ilgi çekici bilim dalıdır. ,Öznel,, Türkiye'nin en büyük ili İstanbul'dur ,Nesnel
Tatil için en ideal yer deniz kenarıdır. ,Öznel,,Anıtkabir Ankara'dadır ,Nesnel
Öğlen uykusu gerçekten gereksiz bir alışkanlıktır. ,Öznel,, develerin hörgücü vardır ,Nesnel
Pazartesi günleri haftanın en sıkıcı günüdür. ,Öznel,, ördekler genellikle suda yaşarlar ,Nesnel
"Çay, kahveden daha rahatlatıcıdır. ",Öznel,, istanbul'da boğaz köprüsü vardır ,Nesnel
Yaz aylarında serinlemek en iyi duygudur. ,Öznel,, Dünya’nın uydusu Ay’dır. ,Nesnel
"Şiir, duygularınızı ifade etmenin en iyi yoludur. ",Öznel,, Güneş Sistemi’ndeki tek yıldız Güneş’tir. ,Nesnel
Aile her şeyden önemlidir. ,Öznel,, Dünya’nın şekli geoittir. ,Nesnel
Spor yapmak hayatın olmazsa olmazıdır. ,Öznel,," Anlamları aynı, yazılışları farklı kelimelere eş anlamlı kelimeler denir. ",Nesnel
İlkbahar en nazik mevsimdir. ,Öznel,," Hikaye, durum ve olay hikayeleri olmak üzere ikiye ayrılır. ",Nesnel
En sevdiğim yemek makarna çünkü farklı soslarla deneyimlenebilir. ,Öznel,, Yılan sürüngen bir hayvandır. ,Nesnel
Seyahat etmek farklı kültürleri tanımanın en güzel yoludur. ,Öznel,," Omurgalı hayvanlar, balıklar, kuşlar, memeliler, sürüngenler ve amfibilerdir. ",Nesnel
"Zeytin yeşili, renk paletinde en hoş tonlardan biridir. ",Öznel,, Cumhuriyet 23 Nisan 1920 yılında ilan edilmiştir. ,Nesnel
Sonbaharın yaprak dökümü en romantik manzaradır. ,Öznel,," Biyoçeşitlilik, bir bölgede yaşayan bitki ve hayvan türlerinin sayısı ve çeşitliliğidir. ",Nesnel
Pizza yemek makarna yemekten daha keyiflidir. ,Öznel,, Pisagor ünlü bir matematikçidir. ,Nesnel
"Paris, dünyanın en güzel şehridir. ",Öznel,, Kütüphanelerde sessiz olmak gerekir. ,Nesnel
"Güzel bir roman okumak, sinema izlemekten daha tatminkardır. ",Öznel,, Sağlıklı yaşamak için dengeli beslenmek gerekir. ,Nesnel
Eğlenceli zaman geçirmek için arkadaşlarla buluşmak birebirdir. ,Öznel,, Sigara ve alkol sağlığa zararlıdır. ,Nesnel
Yeni şeyler öğrenmek yaşamın en kıymetli deneyimidir. ,Öznel,, İslam peygamberi Hazreti Muhammed (s.a.v.)’dir. ,Nesnel
İtalyan mutfağı dünyadaki en lezzetli yemekleri sunar. ,Öznel,, Ramazanda oruç tutmak farzdır. ,Nesnel
"Bahçede zaman geçirmek, kapalı alanda oturmaktan daha keyiflidir. ",Öznel,, Güneş'e en yakın gezegen merkür' dür. ,Nesnel
Kendinizi ifade etmenin en iyi yolu sanattır. ,Öznel,, Kimyasal tepkimelerde sabit oranlar kanunu işlemektedir. ,Nesnel
Herkesin bir müzik aleti çalmayı öğrenmesi gerekir. ,Öznel,, Kimyasal tepkimelerde kütlenin korunumu yasası vardır. ,Nesnel
En heyecanlı spor dalı futbol oynamaktır. ,Öznel,, Türkiye’nin başkenti Ankara’dır. ,Nesnel
Müzik festivali katılabileceğiniz en eğlenceli aktivitedir. ,Öznel,," Osmanlı Devleti’nin başkentleri Bursa, Edirne, İstanbul olmuştur. ",Nesnel
Sağlıklı yaşam için vazgeçilmez olan şey spordur. ,Öznel,, anneler günü 8 mayıs'tadır. ,Nesnel
Çocuklar dünyanın neşesidir. ,Öznel,, Bir yılda 12 ay vardır. ,Nesnel
İklim değişikliği ciddi bir tehdittir. ,Öznel,, Nisan 30 günden oluşur. ,Nesnel
Çalışmak tatil yapmaktan daha tatminkardır. ,Öznel,, kalabalık ortamlarda hastalık olabilir. ,Nesnel
Teknolojinin her gün gelişmesi şaşırtıcıdır. ,Öznel,, Atatürk 57 yaşında hayatını kaybetmiştir ,Nesnel
"Sevgililer Günü, romantizmin en üst düzeye çıktığı bir gündür. ",Öznel,, annemizin annesi bizim anneannemiz olur ,Nesnel
"Yeşil çay, sağlıklı bir içecektir. ",Öznel,, Kışları genellikle soğuk olur ,Nesnel
"Dağcılık, en özgürleştirici sporlardan biridir. ",Öznel,, Su bizim olmazsa olmaz içeceğimizdir ,Nesnel
Beyaz çiçekler zarafetin sembolüdür. ,Öznel,, Dünya'da 8 milyar küsür insan vardır ,Nesnel
Cuma günü haftanın en heyecan verici günüdür. ,Öznel,, Tavşanlar genellikle sebze tüketir ,Nesnel
En yaratıcı sanatçı Pablo Picasso’dur. ,Öznel,, Barbunya bir ev yemeğidir ,Nesnel
Yoga yapmak beni stresten uzaklaştırıyor. ,Öznel,, Çınar ağaçları dayanıklıdırlar ,Nesnel
Film müzikleri duygusal anlar yaşatır. ,Öznel,,Siyah bir telefon aldım. ,Nesnel
İnsanların en iyi arkadaşı köpeklerdir. ,Öznel,,Ayakkabı numaram 38. ,Nesnel
Uyandığımız her gün yeni bir başlangıçtır. ,Öznel,,Annemin saç rengi kızıl. ,Nesnel
"Kış mevsimi, en estetik manzaralara sahip olan mevsimdir. ",Öznel,,Dünya kendi ekseni etrafında döner. ,Nesnel
"Matematik, en zor derslerden biridir. ",Öznel,,Şu an kullanmış olduğumuz alfabe Latin alfabesidir. ,Nesnel
Arkadaşlarınızla vakit geçirmek paha biçilemezdir. ,Öznel,,TRT 1’de akşam haberleri saat 19.00’da başlar. ,Nesnel
"Yeni bir dil öğrenmek, zihinsel gelişimi destekleyen harika bir yoldur. ",Öznel,,Yetenek Sizsiniz Türkiye TV8’de yayınlanan bir yarışma programıdır. ,Nesnel
"Hayat daha eğlenceli, sevgi dolu ve mutlu olmalıdır. ",Öznel,,Bulaşıkları temiz suyla yıkamamız gerekir. ,Nesnel
En güvenilir ulaşım aracı trenlerdir. ,Öznel,,Ankara Türkiye’nin başkentidir. ,Nesnel
"Kitap kokusu, insanı en çok etkileyen kokulardan biridir. ",Öznel,,Türkiye’nin en kalabalık şehri İstanbul’dur. ,Nesnel
"Gitar çalmak, diğer müzik aletlerine göre daha havalıdır. ",Öznel,,Su 100 derecede kaynar. ,Nesnel
Romantik filmler izlemek duygusal zenginlik katıyor. ,Öznel,,Dünya'nın uydusunun adı Ay'dır. ,Nesnel
İngilizce öğrenmek herkes için gereklidir. ,Öznel,,Türkiye'nin başkenti Ankara'dır. ,Nesnel
Sözlü iletişim yazılı iletişimden daha etkilidir. ,Öznel,,İnsan vücudunda 206 kemik vardır. ,Nesnel
"En keyifli sabah, erkenden yürüyüş yaparak geçirilen sabahdır. ",Öznel,,1 yıl 365 gün 6 saattir. ,Nesnel
Kendi işini yapmak daha tatminkardır. ,Öznel,,"Mars, Güneş Sistemi'nin dördüncü gezegenidir. ",Nesnel
"Gün batımı izlemek, ruhu dinlendiren bir deneyimdir. ",Öznel,,Bir kilogram 1000 gramdır. ,Nesnel
"Doğada dolaşmak, şehirde vakit geçirmekten daha sağlıklıdır. ",Öznel,,"Güneş doğudan doğar, batıdan batar. ",Nesnel
"Sıcak bir fincan kahve, soğuk kış günlerinin armağanıdır. ",Öznel,,"İstanbul Boğazı, Asya ile Avrupa'yı ayırır. ",Nesnel
Bilim kurgu romanları okumanın hayal gücünü geliştirmeye katkısı büyüktür. ,Öznel,,Türkiye 7 coğrafi bölgeye ayrılmıştır. ,Nesnel
Herkesin bir hobi edinmesi gerektiğine inanıyorum. ,Öznel,,"Su renksiz, kokusuz ve tatsız bir sıvıdır. ",Nesnel
"Resim yapmak, duygusal ifadenin en saf yollarından biridir. ",Öznel,,Dünya yuvarlak bir şekle sahiptir. ,Nesnel
En ilginç tarih dönemi Orta Çağ’dır. ,Öznel,,"İngilizce, Birleşik Krallık’ın resmi dilidir. ",Nesnel
Deniz kenarında yürüyüş yapmanın verdiği huzuru hiçbir şey veremez. ,Öznel,,Elma bir meyvedir. ,Nesnel
"En güzel tatil, doğayla iç içe geçirilen tatildir. ",Öznel,,Türkiye'nin nüfusu 2023 itibarıyla yaklaşık 85 milyondur. ,Nesnel
"Çiçek yetiştirmek, insanı rahatlatan bir meşguliyettir. ",Öznel,,"İstanbul, Türkiye'nin en kalabalık şehridir. ",Nesnel
"Evcil hayvan sahiplenmek, hayatı renklendirir. ",Öznel,,1 saat 60 dakikadır. ,Nesnel
"Yaz tatili, en keyifli zaman dilimidir. ",Öznel,,DNA çift sarmal yapısına sahiptir. ,Nesnel
"Belgesel izlemek, merak duygunuzu tatmin eder. ",Öznel,,"Ay, Güneş’ten aldığı ışığı yansıtır. ",Nesnel
Aşk hayatı daha anlamlı kılar. ,Öznel,,Soğuk havalarda su donar. ,Nesnel
En etkileyici sanat akımı sürrealizmdir. ,Öznel,,1 metre 100 santimetredir. ,Nesnel
Doğal güzellikler yapay güzelliklerden daha değerlidir. ,Öznel,,"Göz, görme işlevini yerine getirir. ",Nesnel
Bahçede kamp yapmak tatilin en eğlenceli şeklidir. ,Öznel,,Atatürk 1881 yılında doğmuştur. ,Nesnel
Fotoğrafçılık dünyayı keşfetmenin büyüleyici bir yoludur. ,Öznel,,Türkiye 29 Ekim 1923’te cumhuriyet olmuştur. ,Nesnel
Masal kitapları çocukların hayal gücünü geliştirir. ,Öznel,,1 litre 1000 mililitredir. ,Nesnel
"Sessiz bir ortamda çalışmak, verimliliği artırır. ",Öznel,,Kış mevsiminde sıcaklık genellikle düşer. ,Nesnel
Deniz manzarası izlemek zihni dinlendirir. ,Öznel,,Gözle görülebilen ışık yedi renkten oluşur. ,Nesnel
"Kırsal yaşam, şehir yaşamından daha huzurludur. ",Öznel,,Elektronlar negatif yüklüdür. ,Nesnel
En sevdiğim dizi komedi türünde olanlardır. ,Öznel,,"Kalp, kanı vücuda pompalayan organdır. ",Nesnel
Gece yürüyüşleri gündüz yürüyüşlerinden daha keyiflidir. ,Öznel,,Bitkiler fotosentez yapar. ,Nesnel
"Mart ayı, yılın en belirsiz havasında olan ayıdır. ",Öznel,,"Ay, yaklaşık 27,3 günde Dünya etrafında döner. ",Nesnel
"Anılarınızı yazmak, hayatınızı değerlendirmek için harika bir yoldur. ",Öznel,,Türkiye'nin resmi para birimi Türk Lirası’dır. ,Nesnel
"Yıldızları izlemek, geceyi büyüleyici kılar. ",Öznel,,5 x 6 = 30’dur. ,Nesnel
"Sinema izlemek, günün yorgunluğunu atmanızı sağlar. ",Öznel,,"Kar, donmuş sudur. ",Nesnel
"Kitap okumak, en büyük kaçış alanıdır. ",Öznel,,Gökkuşağı yağmur sonrası oluşabilir. ,Nesnel
"Sevebileceğiniz işte çalışmak, hayatınızı zenginleştirir. ",Öznel,,"Ses, bir dalga türüdür. ",Nesnel
"Tatli bir rüya görebilmek, gecelerin ödülüdür. ",Öznel,,Kuşlar yumurtayla çoğalır. ,Nesnel
Ansiklopedik bilgi birikimi herkes için faydalıdır. ,Öznel,,İnsanlar oksijen soluyarak yaşar. ,Nesnel
"İnsanları sevindirmek, mutluluğun en saf halidir. ",Öznel,,Balıklar solungaçlarıyla nefes alır. ,Nesnel
"Konforlu bir evde yaşamak, huzurun kapısını açar. ",Öznel,,Bir yılda 12 ay vardır. ,Nesnel
"Tatmin edici bir yemek yemek, günün doruk noktasıdır. ",Öznel,,"Türkiye bir parlamenter demokrasiyle yönetiliyordu, 2018’den sonra cumhurbaşkanlığı sistemi uygulandı ",Nesnel
"Çiçeklerle dolu bir bahçede zaman geçirmek, hayatın en büyük zevklerinden biridir. ",Öznel,,Güneş bir yıldızdır. ,Nesnel
"Sevgi dolu bir aile ortamı, mutluluğun merkezidir. ",Öznel,,Helyum en hafif ikinci elementtir. ,Nesnel
Tatlı yemek pasta yemekten daha güzel,Öznel,,"Venüs, Güneş'e en yakın ikinci gezegendir. ",Nesnel
Yazı yazmak kolay bir iştir. ,Öznel,,Kediler genellikle dört ayak üzerinde yürür. ,Nesnel
Ayşe Öğretmenin hangi kitabını alırsanız alın her kitabında  müthiş bir duygu ve ustalık olduğunu göreceksiniz. ,Öznel,,Yağmur bulutların yoğunlaşmasıyla oluşur. ,Nesnel
Dünyanın en güzel ve en  tatlı şehri İstanbul’dur. ,Öznel,,"Şimşek, elektrik boşalmasıdır. ",Nesnel
Kırmızı renk renklerin en cazibelisi ve en güzelidir. ,Öznel,,"Bir karınca, vücut ağırlığının 50 katını taşıyabilir. ",Nesnel
Siyah renk hiç güzel değildir. ,Öznel,,Çamaşır makinesi kıyafetleri yıkamak için kullanılır. ,Nesnel
En sevimli hayvan ayıdır. ,Öznel,,Lise eğitimi genellikle dört yıldır. ,Nesnel
En korkunç hayvan  köpektir. ,Öznel,,Yerçekimi Dünya'nın merkezine doğru çeker. ,Nesnel
Takım elbise bayanlara yakışmaz. ,Öznel,,Kış aylarında günler kısalır. ,Nesnel
Takım elbise erkeklere daha çok yakışıyor. ,Öznel,,Sıvılar bulundukları kabın şeklini alır. ,Nesnel
Kimse etli ekmeğe hayır diyemez. ,Öznel,,Türkiye'nin en yüksek dağı Ağrı Dağı'dır. ,Nesnel
En lezzetli yemek yaprak sarması  en  güzel tatlı ise kadayıftır. ,Öznel,,Gözler ışığa duyarlıdır. ,Nesnel
Türkiye dünyanın en güzel ülkesidir. ,Öznel,,"Ay tutulması, Ay Dünya'nın gölgesine girdiğinde olur. ",Nesnel
Kimse etli ekmeğe hayır diyemez. ,Öznel,,Ateşin sıcaklığı dokunulduğunda yanmaya sebep olabilir. ,Nesnel
En lezzetli yemek yaprak sarması  en  güzel tatlı ise kadayıftır. ,Öznel,,Bilgisayarlar bilgi işleyebilir. ,Nesnel
Türkiye dünyanın en güzel ülkesidir. ,Öznel,,Kaynar su buhar üretir. ,Nesnel
En güzel çiçek kaktüs çiçeğidir. ,Öznel,,Pamuk bitkisel kökenli bir üründür. ,Nesnel
Kırmızı en güzel renktir. ,Öznel,,Okullar genellikle sabah başlar. ,Nesnel
Kot pantolonda yürümek daha rahat . ,Öznel,,Uçaklar havayolu taşımacılığı aracıdır. ,Nesnel
İyi bir evlilik hayatı mutlak para gerektirir. ,Öznel,,Kalem yazı yazmak için kullanılır. ,Nesnel
En çok sevilen müzik türü halk müziğidir. ,Öznel,,Gözlük görme bozukluğunu düzeltmeye yardımcı olur. ,Nesnel
 Yağmur yağdıkça içime bir huzur geliyor. ,Öznel,,Arılar bal yapar. ,Nesnel
 Türkiye’nin en güzel şehri İzmir’dir. ,Öznel,,Dünya kendi etrafında 24 saatte döner. ,Nesnel
Futbolu sevmeyen yoktur. ,Öznel,,Ay ışığını Güneş'ten alır. ,Nesnel
 En başarılı teknik adam Fatih Terim’dir. ,Öznel,,Bir hafta 7 gündür. ,Nesnel
Ceyda çok iyi bir arkadaş. ,Öznel,,Denizler tuzlu su içerir. ,Nesnel
-Arkadaşımın resmini çok beğendim. ,Öznel,,Termometre sıcaklığı ölçer. ,Nesnel
-Gürültülü ortamdan hoşlanmam. ,Öznel,,Matematikte üçgenin iç açıları toplamı 180 derecedir. ,Nesnel
-Güneşli havayı çok severim. ,Öznel,,Dondurma genellikle soğuk tüketilir. ,Nesnel
